habilidade_id,no_id,tipo,conta_pontuacao,texto,imagem_url,enunciado,explicacao
EF.09.MAT.2.92,e1,escolha,FALSE,"Quando você vê uma expressão como \( (a + b)^2 \), qual dessas frases mais combina com o que acontece na sua cabeça?",,,
EF.09.MAT.2.92,e2_nao_sabe,escolha,TRUE,Produtos notáveis são multiplicações que aparecem tanto no dia a dia da álgebra que ganham um nome especial. Mas na origem são apenas multiplicações entre expressões. Vamos começar com uma pergunta bem simples:,,,
EF.09.MAT.2.92,e3_nao_sabe_q1,escolha,TRUE,Você lembra o que significa o símbolo \( ^2 \) em matemática?,,,
EF.09.MAT.2.92,e3_nao_sabe_corrige,escolha,TRUE,"Quando você vê \( x^2 \), isso significa \( x \cdot x \). Não é \( x \cdot 2 \). É multiplicar o número por ele mesmo. Da mesma forma, \( (a + b)^2 \) significa \( (a + b)(a + b) \).",,,
EF.09.MAT.2.92,e3_nao_sabe_q2,escolha,TRUE,"Então a primeira tradução importante é: \( (a + b)^2 = (a + b)(a + b) \). A partir daqui, nossa tarefa é multiplicar essa soma por ela mesma. Vamos agora alinhar isso com quem teve outras respostas.",,,
EF.09.MAT.2.92,e2_erro_inicial,escolha,TRUE,"Se você pensa em 'elevar cada termo' e escrever \( a^2 + b^2 \), vale uma pergunta: onde ficam os produtos entre termos diferentes? Em uma multiplicação de somas, cada termo da primeira soma deve encontrar cada termo da segunda. Vamos explicitar essa estrutura.",,,
EF.09.MAT.2.92,e2_caminho_bom,escolha,TRUE,"Excelente. Pensar em \( (a + b)(a + b) \) é o passo certo. Nosso objetivo agora é fazer essa multiplicação com calma, sem pular etapas, para que a regra do produto notável faça sentido.",,,
EF.09.MAT.2.92,e2_avancado,escolha,TRUE,"Ótimo que você já conhece a regra. Mas vamos fazer um exercício de 'engenheiro da matemática': em vez de só usar a fórmula, vamos reconstruí-la. Assim, se um dia você esquecer a forma exata, consegue recriar a regra com tranquilidade.",,,
EF.09.MAT.2.92,e3_distributiva_intro,escolha,TRUE,"Vamos escrever a multiplicação devagar: \( (a + b)(a + b) \).<br><br>Primeiro, pense no termo \( a \) da primeira expressão. Ele precisa multiplicar os dois termos da segunda: \( a \cdot a \) e \( a \cdot b \).<br><br>Depois, pense no termo \( b \) da primeira expressão. Ele também precisa multiplicar os dois termos da segunda: \( b \cdot a \) e \( b \cdot b \).<br><br>Agora vamos listar o resultado dessa multiplicação completa.",,,
EF.09.MAT.2.92,e3_distributiva,escolha,TRUE,Qual lista representa corretamente todos os produtos obtidos de \( (a + b)(a + b) \)?,,,
EF.09.MAT.2.92,e4_recuperacao_parcial,escolha,TRUE,"Em \( (a + b)(a + b) \), temos dois termos em cada soma. Cada um precisa multiplicar os dois da outra expressão. Isso gera 4 produtos: \( a \cdot a \), \( a \cdot b \), \( b \cdot a \) e \( b \cdot b \). Vamos reescrever esses produtos usando notação de potência.",,,
EF.09.MAT.2.92,e4_agrupamento,escolha,TRUE,"Reescrevendo os quatro produtos com notação mais comum, ficamos com:",,,
EF.09.MAT.2.92,e5_agrupa_ab_recupera,escolha,TRUE,"Os quatro produtos podem ser escritos como \( a^2 \), \( ab \), \( ba \), \( b^2 \). Os termos \( ab \) e \( ba \) são iguais em valor: multiplicar \( a \) por \( b \) ou \( b \) por \( a \) resulta o mesmo número. A diferença está apenas na ordem escrita.",,,
EF.09.MAT.2.92,e5_agrupa_ab,escolha,TRUE,"Sabendo que \( ab \) e \( ba \) têm o mesmo valor, o que acontece quando agrupamos os termos \( ab \) e \( ba \)?",,,
EF.09.MAT.2.92,e5_agrupa_ab_corrige,escolha,TRUE,"Como \( ab \) e \( ba \) são ambos positivos em \( (a + b)(a + b) \), eles se somam: \( ab + ba = 2ab \). Não há cancelamento, e sim soma.",,,
EF.09.MAT.2.92,e6_forma_padrao,escolha,TRUE,"Agora podemos escrever o resultado completo da multiplicação:<br><br>\[ (a + b)(a + b) = <br><br> a^2 + ab + ba + b^2 \]<br><br>Agrupando \( ab \) e \( ba \), obtemos \( a^2 + 2ab + b^2 \).<br><br>Essa é a forma padronizada do produto notável \( (a + b)^2 \).",,,
EF.09.MAT.2.92,e7_geometria,mensagem,FALSE,"Vamos agora ver a mesma ideia por outro ângulo, usando geometria, para reforçar o sentido.<br><br>Imagine um quadrado de lado \( (a + b) \). Divida esse lado em duas partes: um segmento de comprimento \( a \) e outro de comprimento \( b \).<br><br>Ao traçar linhas internas, o quadrado se divide em:<br><br>- Um quadrado de lado \( a \) (área \( a^2 \));<br><br>- Um quadrado de lado \( b \) (área \( b^2 \));<br><br>- Dois retângulos de lados \( a \) e \( b \) (área \( ab \) cada).<br><br>Observe a imagem e vamos traduzir isso em linguagem algébrica.",https://pplx-res.cloudinary.com/image/upload/pplx_search_images/6e614336d63de13b4e54265a250f394d14630078.jpg,,
EF.09.MAT.2.92,e8_geometria_q1,escolha,TRUE,"Somando as áreas dessas quatro regiões, qual expressão você obtém para a área total do quadrado de lado \( (a + b) \)?",,,
EF.09.MAT.2.92,e8_geometria_corrige,escolha,TRUE,"O quadrado é formado por quatro regiões: dois quadrados pequenos (\( a^2 \) e \( b^2 \)) e dois retângulos \( ab \). Portanto, a área total é \( a^2 + ab + ab + b^2 \).",,,
EF.09.MAT.2.92,e8_geometria_q2,escolha,TRUE,"Agrupando os termos \( ab \) e \( ab \) outra vez, qual forma final você obtém para a área desse quadrado?",,,
EF.09.MAT.2.92,e8_geometria_corrige2,escolha,TRUE,"A presença dos dois retângulos \( ab \) é essencial para representar a área total. Sem eles, você não está contando todo o quadrado.",,,
